code,city,state,lat,lng
690140,EL TORO MCAS,CA,33.667,-117.733
690150,TWENTYNINE PALMS,CA,34.3,-116.167
690160,TUSTIN MCAF,CA,33.7,-117.833
690190,ABILENE DYESS AFB,TX,32.433,-99.85
690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667
699604,YUMA MCAS,AZ,32.65,-114.617
700197,SELAWIK,AK,66.6,-160
700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,71.32,-156.62
700300,WAINWRIGHT LIZ 3,AK,70.617,-159.85
700634,KUPARUK AIRPORT,AK,70.317,-149.583
700636,PRUDHOE BAY,AK,70.25,-148.333
700637,DEADHORSE,AK,70.2,-148.483
700860,BARTER IS WSO AP,AK,70.133,-143.633
701043,POINT HOPE (AWOS),AK,68.35,-166.8
701195,SHISHMAREF (AWOS),AK,66.267,-166.05
701210,POINT LAY (DEW),AK,69.817,-162.917
701213,POINT LAY LIZ 2,AK,69.733,-163.017
701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,66.883,-162.6
701333,DEERING,AK,66.083,-162.75
701335,NOATAK,AK,67.55,-162.983
701486,NIVALINA,AK,67.733,-164.55
701625,ANAKTUVUK PASS,AK,68.133,-151.733
701718,AMBLER,AK,67.1,-157.85
701740,BETTLES FIELD,AK,66.917,-151.517
701745,CHANDALAR LAKE,AK,67.5,-148.483
701780,TANANA RALPH M CALHOUN MEM AP,AK,65.167,-152.1
701940,FORT YUKON,AK,66.567,-145.267
701945,ARCTIC VILLAGE,AK,68.117,-145.567
701975,EAGLE,AK,64.783,-141.167
701995,GOLOVIN,AK,64.55,-163.05
702000,NOME MUNICIPAL ARPT,AK,64.517,-165.45
702005,SAINT MARY`S (AWOS),AK,62.067,-163.3
702006,KALTAG,AK,64.316,-158.733
702035,SAVOONGA,AK,63.683,-170.5
702040,GAMBELL,AK,63.783,-171.75
702070,UNALAKLEET FIELD,AK,63.883,-160.8
702075,ANVIK,AK,62.65,-160.183
702084,EMMONAK,AK,62.783,-164.5
702185,MEKORYUK,AK,60.367,-166.267
702186,HOOPER BAY,AK,61.517,-166.15
702190,BETHEL AIRPORT,AK,60.783,-161.833
702223,KOYUK,AK,64.933,-161.15
702225,HUSLIA,AK,65.7,-156.383
702310,MCGRATH ARPT,AK,62.95,-155.6
702312,FAREWELL FAA AP,AK,62.517,-153.883
702320,ANIAK AIRPORT,AK,61.583,-159.533
702325,WASILLA,AK,61.567,-149.45
702460,MINCHUMINA,AK,63.883,-152.283
702490,PUNTILLA,AK,62.1,-152.75
702495,HAYES RIVER,AK,61.983,-152.083
702510,TALKEETNA STATE ARPT,AK,62.317,-150.1
702590,KENAI MUNICIPAL AP,AK,60.583,-151.233
702595,SOLDOTNA,AK,60.467,-151.033
702600,NENANA MUNICIPAL AP,AK,64.55,-149.1
702606,CHULITNA,AK,62.883,-149.833
702607,HOONAH,AK,58.083,-135.45
702610,FAIRBANKS INTL ARPT,AK,64.817,-147.85
702615,WAINWRIGHT AAF,AK,64.833,-147.617
702645,MCKINLEY PARK,AK,63.733,-148.917
702647,HEALY RIVER AIRPORT,AK,63.883,-149.017
702648,CANTWELL,AK,63.4,-148.95
702650,FAIRBANKS/EIELSON A,AK,64.65,-147.1
702670,BIG DELTA ALLEN AAF,AK,64,-145.717
702675,PAXSON,AK,63.033,-145.5
702695,SUTTON,AK,61.717,-148.883
702700,FT. RICHARDSON/BRYA,AK,61.267,-149.65
702710,GULKANA INTERMEDIATE FIELD,AK,62.15,-145.45
702711,SHEEP MTN,AK,61.817,-158.383
702715,EUREKA,AK,61.933,-147.167
702716,TAHNETA PASS,AK,61.817,-147.55
702720,ANCHORAGE/ELMENDORF,AK,61.25,-149.8
702725,LAKE HOOD SEAPLANE,AK,61.183,-149.967
702730,ANCHORAGE INTL AP,AK,61.183,-150
702735,ANCHORAGE MERRILL FIELD,AK,61.217,-149.85
702740,PALMER MUNICIPAL,AK,61.6,-149.083
702746,BIRCHWOOD,AK,61.417,-149.517
702750,VALDEZ WSO,AK,61.133,-146.35
702755,MCCARTHY,AK,61.433,-142.933
702756,VALDEZ PIONEER FIEL,AK,61.133,-146.267
702757,WHITTIER,AK,60.767,-148.683
702770,SEWARD,AK,60.117,-149.45
702910,NORTHWAY AIRPORT,AK,62.967,-141.933
702913,NABESNA/DEVIL MTN,AK,62.4,-143
702915,SLANA AIRPORT,AK,62.7,-143.983
702960,CORDOVA,AK,60.5,-145.5
702986,BIG RIVER LAKE,AK,60.817,-152.3
703080,ST PAUL ISLAND ARPT,AK,57.167,-170.217
703160,COLD BAY ARPT,AK,55.2,-162.717
703165,SAND POINT,AK,55.317,-160.517
703210,DILLINGHAM (AMOS),AK,59.05,-158.517
703260,KING SALMON ARPT,AK,58.683,-156.65
703263,KING SALMON,AK,58.683,-156.683
703330,PORT HEIDEN,AK,56.95,-158.617
703333,CHIGNIK,AK,56.2,-158.233
703334,EGEGIK(AWOS),AK,58.417,-157.367
703400,ILIAMNA ARPT,AK,59.75,-154.917
703406,PORT ALSWORTH,AK,60.2,-154.317
703407,SLEETMUTE,AK,61.717,-157.15
703410,HOMER ARPT,AK,59.65,-151.483
703430,MIDDLETON ISLAND AUT,AK,59.467,-146.317
703500,KODIAK AIRPORT,AK,57.75,-152.5
703604,HOMER,AK,59.633,-151.483
703606,TOGIAC VILLAGE AWOS,AK,59.05,-160.4
703610,YAKUTAT STATE ARPT,AK,59.517,-139.633
703620,SKAGWAY AIRPORT,AK,59.467,-135.3
703621,SELDOVIA ARPT,AK,59.45,-151.7
703625,HAINES BOAT HARBOR,AK,59.233,-135.433
703626,HAINES,AK,59.233,-135.433
703644,NUIQSUT,AK,70.217,-150.983
703670,GUSTAVUS,AK,58.417,-135.7
703710,SITKA JAPONSKI AP,AK,57.05,-135.367
703810,JUNEAU INT'L ARPT,AK,58.35,-134.583
703816,FUNTER BAY SEAPLANE,AK,58.25,-134.9
703817,ELFIN COVE SEAPLANE,AK,58.2,-136.35
703835,ST GEORGE ISLAND,AK,56.35,-169.4
703855,KAKE SEAPLANE BASE,AK,56.967,-133.95
703860,PETERSBURG,AK,56.8,-132.95
703870,WRANGELL,AK,56.483,-132.367
703884,HYDABURG SEAPLANE,AK,55.2,-132.833
703886,PORT ALEXANDER,AK,56.25,-134.65
703894,KLAWOCK,AK,55.583,-133.083
703950,KETCHIKAN INTL AP,AK,55.367,-131.717
703980,ANNETTE ISLAND AP,AK,55.05,-131.567
